   ID        Имя     Фамилия День рождения
0  01       Иван      Иванов    05.05.2005
1  02     Сергей     Сергеев    06.06.2006
2  03     Марина    Маринина    07.07.2007
3  04       Петр      Петров    08.08.2005
4  05       Сидр     Сидоров    09.09.2006   ID     Имя   Фамилия Дата рождения
0  01    Иван    Иванов    05.05.2005
1  02  Сергей   Сергеев    06.06.2006
2  03  Марина  Маринина    07.07.2007
3  04    Петр    Петров    08.08.2005
4  05    Сидр   Сидоров    09.09.2006
   ID     Имя   Фамилия Дата рождения
0  01    Иван    Иванов    05.05.2005
1  02  Сергей   Сергеев    06.06.2006
2  03  Марина  Маринина    07.07.2007
3  04    Петр    Петров    08.08.2005
4  05    Сидр   Сидоров    09.09.2006
   ID     Имя   Фамилия Дата рождения
0  01    Иван    Иванов    05.05.2005
1  02  Сергей   Сергеев    06.06.2006
2  03  Марина  Маринина    07.07.2007
3  04    Петр    Петров    08.08.2005
4  05    Сидр   Сидоров    09.09.2006
